"codi","nom"
"293","L'Hospitalet de Llobregat - 06"
"294","L'Hospitalet de Llobregat - 07"
"295","L'Hospitalet de Llobregat - 08"
"296","L'Hospitalet de Llobregat - 09"
"297","L'Hospitalet de Llobregat - 10"
"298","L'Hospitalet de Llobregat - 11"
"299","L'Hospitalet de Llobregat - 12"
"300","La Llagosta"
"303","Reus - 1"
"304","Reus - 2"
"305","Reus - 3"
"306","Reus - 4"
"307","Reus - 5"
"309",NA
"310",NA
"311",NA
"312",NA
"314",NA
"315","Vall del Tenes"
"316",NA
"317",NA
"319","Montgat"
"320",NA
"322","Ciutat Badia"
"324",NA
"325","Pineda de Mar"
"326","Barcelona - 07G"
"327","Barcelona - 08I"
"328","L'Aldea - Camarles - l'Ampolla"
"329","Lleida rural - 2 Sud"
"330","Breda - Hostalric"
"331","Barcelona - 10J"
"333","Alt Camp Oest"
"334","Almacelles"
"335","Sant Andreu de Llavaneres"
"336","Tordera"
"337","Capellades"
"338","Piera"
"339","Salou"
"340","Vila-seca"
"341","Badalona - 07A"
"342","Badalona - 07B"
"343",NA
"344","Sabadell - 4A"
"345","Sabadell - 4B"
"346","Sant Joan les Fonts"
"347","La Vall d'en Bas"
"348",NA
"349",NA
"350","Vic - 1"
"351","Vic - 2"
"352","Tarragona - 7"
"353","Vilassar de Dalt"
"354","La Selva del Camp"
"355",NA
"356","Terrassa - G"
"357","Calafell"
"358","Barcelona - 06E"
"359","Cubelles - Cunit"
"360","Martorell rural"
"361","El Masnou - Alella"
"362",NA
"363",NA
"364","Tarragona - 8"
"365","Castelldefels - 1"
"366","Castelldefels - 2"
"367",NA
"368","Santa Coloma de Gramenet - 6"
"369","Corbera de Llobregat"
"370","Abrera"
"371","Igualada - 1"
"372","Igualada - 2"
"373","Begues"
"374",NA
"375",NA
"376","Alt Mogent"
"377","Roda de Ter"
"378",NA
"379","Lleida - 7"
"380",NA
"381","Montcada i Reixac - 1"
"382","Montcada i Reixac - 2"
"383","Barcelona - 03H"
"384","Cerdanyola - Ripollet"
"385","Barcelona - 08J"
"386","Ripollet - 1"
"387","Ripollet - 2"
"388",NA
"389",NA
"390",NA
"391",NA
"392",NA
"393","Ribes - Olivella"
"394","Roquetes - Canyelles"
"395","Barcelona - 09H"
"396","Barcelona - 09I"
"397",NA
"398",NA
"399","Castellbisbal"
"400","Barcelona - 03I"
"401","Viladecans - 3"
"402","Barcelona - 08K"
"403","Barcelona - 08L"
